City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Victoria,HK,70.25,scattered clouds,22.2855,114.1577,Mini Hotel Central
69,Ixtapa,MX,74.23,clear sky,20.7,-105.2,hotel la terminal
80,Namatanai,PG,77.47,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
82,Aplahoue,BJ,79.12,broken clouds,6.9333,1.6833,Hotel ARNOGOS
87,Grand-Lahou,CI,80.62,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
88,Lorengau,PG,80.65,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
93,Ciudad Bolivar,VE,86.0,broken clouds,8.1222,-63.5497,Hotel Edi
94,Sao Filipe,CV,71.71,clear sky,14.8961,-24.4956,Hotel Xaguate
96,Morgan City,US,79.0,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
97,Bandar-E Lengeh,IR,78.93,clear sky,26.5579,54.8807,کافی نت پارس
99,Rudbar,AF,76.71,clear sky,30.15,62.6,
100,Sakakah,SA,71.17,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
102,Faanui,PF,82.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Custodia,BR,73.44,overcast clouds,-8.0875,-37.6431,Hotel do Sertão
110,Vaini,TO,82.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
113,Ishigaki,JP,71.73,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
114,Taltal,CL,70.54,broken clouds,-25.4,-70.4833,Residencial Karime
115,Veraval,IN,79.27,broken clouds,20.9,70.3667,Lords Inn Somnath
120,Ilhabela,BR,74.71,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
124,Puerto Ayora,EC,79.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
125,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
132,Nurota,UZ,72.23,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
133,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
137,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
138,Matara,LK,75.54,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
142,Atar,MR,74.75,clear sky,20.5169,-13.0499,Oumou Elghoura
143,Chiredzi,ZW,73.33,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
146,Kendari,ID,79.72,broken clouds,-3.945,122.4989,Hotel Wixel
150,Takoradi,GH,81.41,broken clouds,4.8845,-1.7554,Raybow International Hotel
152,Edd,ER,86.27,clear sky,13.9297,41.6925,
153,Grand-Santi,GF,73.56,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
154,Santiago Del Estero,AR,75.61,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
156,Isangel,VU,83.39,overcast clouds,-19.55,169.2667,Tanna Lodge
157,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
161,Belmonte,BR,77.97,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
162,Lompoc,US,86.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
166,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
172,Suleja,NG,83.39,broken clouds,9.1758,7.1808,Capy Motel
173,Sinnamary,GF,77.59,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
174,Puerto Leguizamo,CO,74.12,broken clouds,-0.1934,-74.7819,la casona de juancho
176,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
177,Atambua,ID,77.74,broken clouds,-9.1061,124.8925,Kost Alfa Flat
180,Kununurra,AU,84.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
181,Farmington,US,72.28,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
183,Noumea,NC,80.01,light rain,-22.2763,166.4572,Hôtel Le Lagon
184,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
187,Merauke,ID,82.78,broken clouds,-8.4667,140.3333,
188,Huarmey,PE,70.12,broken clouds,-10.0681,-78.1522,Hotel Miramar
189,Hambantota,LK,77.16,broken clouds,6.1241,81.1185,Bungalow 63
190,Hithadhoo,MV,82.31,scattered clouds,-0.6,73.0833,Scoop Guest House
191,Half Moon Bay,US,73.89,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
194,Bubaque,GW,76.59,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
195,Karratha,AU,85.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
197,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
203,Harper,LR,81.01,broken clouds,4.375,-7.7169,Screensaver
207,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
208,Pekan,MY,75.31,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
210,Tuxtla,MX,87.24,clear sky,16.75,-93.1167,"Hotel del Carmen en Tuxtla Gutierrez, en el Centro de Tuxtla"
215,Sorong,ID,83.05,broken clouds,-0.8833,131.25,Waigo Splash Hotel
216,Cozumel,MX,82.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
217,Gladstone,AU,80.53,scattered clouds,-23.85,151.25,Highpoint International Hotel
222,Pobe,BJ,78.42,broken clouds,6.9801,2.6649,Hôtel Étoile d'Or de Pobé
225,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
229,Pacific Grove,US,70.59,clear sky,36.6177,-121.9166,Lovers Point Inn
230,Limoeiro De Anadia,BR,72.95,overcast clouds,-9.7406,-36.5028,Shopp Motel
232,Kasongo-Lunda,CD,70.9,overcast clouds,-6.4667,16.8167,
233,Micheweni,TZ,81.3,clear sky,-4.9667,39.8333,
237,Nagua,DO,80.65,few clouds,19.3832,-69.8474,Hotel Cambri
