City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
193,Rebrikha,RU,53.0733,82.3408,39.99,85,100,9.53,overcast clouds,2022-04-05 23:09:59
194,Tiksi,RU,71.6872,128.8694,-14.8,100,100,2.77,overcast clouds,2022-04-05 23:09:59
195,Sao Filipe,CV,14.8961,-24.4956,71.49,72,6,8.97,clear sky,2022-04-05 23:09:59
196,Gao,ML,16.6362,1.637,88.34,7,11,10.83,few clouds,2022-04-05 23:10:00
197,Dingle,PH,10.9995,122.6711,77.49,86,99,7.7,overcast clouds,2022-04-05 23:10:00
198,Zlobin,HR,45.2924,14.6541,38.62,84,0,0.0,clear sky,2022-04-05 23:10:00
199,Kot Radha Kishan,PK,31.1725,74.0997,77.11,13,18,3.36,few clouds,2022-04-05 23:10:01
200,Kenai,US,60.5544,-151.2583,38.14,71,100,18.41,light rain,2022-04-05 23:10:01
201,Port Pirie,AU,-33.1833,138.0167,68.09,49,81,6.35,broken clouds,2022-04-05 23:10:01
202,Perm,RU,58.0174,56.2855,27.86,74,0,15.66,clear sky,2022-04-05 23:09:08
203,Porto Novo,BJ,6.4965,2.6036,81.73,83,51,9.06,broken clouds,2022-04-05 23:10:02
204,Jambi,ID,-1.6,103.6167,72.63,98,91,2.62,overcast clouds,2022-04-05 23:10:03
205,Borba,BR,-4.3878,-59.5939,75.65,97,86,2.33,light rain,2022-04-05 23:10:03
206,Evensk,RU,61.95,159.2333,17.4,75,46,5.39,scattered clouds,2022-04-05 23:10:03
207,Carnarvon,AU,-24.8667,113.6333,77.34,60,0,14.36,clear sky,2022-04-05 23:10:04
208,Srednekolymsk,RU,67.45,153.6833,-6.65,94,100,5.3,overcast clouds,2022-04-05 23:04:00
209,Moerai,PF,-22.4333,-151.3333,81.54,75,70,12.19,broken clouds,2022-04-05 23:10:04
210,Dobrinka,RU,52.1653,40.4731,35.91,97,100,17.02,overcast clouds,2022-04-05 23:10:04
211,Atar,MR,20.5169,-13.0499,76.66,25,5,8.25,clear sky,2022-04-05 23:10:05
212,Pind Dadan Khan,PK,32.5879,73.0456,75.56,18,5,2.33,clear sky,2022-04-05 23:10:05
213,Sitka,US,57.0531,-135.33,44.49,61,75,11.5,broken clouds,2022-04-05 23:09:18
214,Isangel,VU,-19.55,169.2667,82.49,79,100,12.1,overcast clouds,2022-04-05 23:07:47
215,Serenje,ZM,-13.2325,30.2352,61.57,96,100,2.53,overcast clouds,2022-04-05 23:10:05
216,Esperance,AU,-33.8667,121.9,62.65,75,90,7.2,overcast clouds,2022-04-05 23:10:06
217,Saint-Joseph,RE,-21.3667,55.6167,77.38,86,72,9.44,broken clouds,2022-04-05 23:10:06
218,Kaitangata,NZ,-46.2817,169.8464,54.88,61,49,18.61,scattered clouds,2022-04-05 23:10:06
219,Katherine,AU,-14.4667,132.2667,82.72,69,31,4.61,scattered clouds,2022-04-05 23:10:07
220,Nuevo Progreso,MX,23.1667,-97.95,88.54,61,14,5.01,few clouds,2022-04-05 23:10:07
221,Tilichiki,RU,60.4667,166.1,13.03,89,100,7.63,overcast clouds,2022-04-05 23:10:07
222,Gilbues,BR,-9.8317,-45.3439,78.98,50,42,2.86,scattered clouds,2022-04-05 23:10:08
223,Pinyug,RU,60.251,47.7842,23.25,94,65,6.71,broken clouds,2022-04-05 23:10:08
224,Longyearbyen,SJ,78.2186,15.6401,8.44,72,0,17.27,clear sky,2022-04-05 23:10:08
225,Puerto Colombia,CO,10.9878,-74.9547,82.49,84,97,18.5,overcast clouds,2022-04-05 23:10:09
226,Saint Anthony,US,45.0205,-93.218,44.53,91,100,17.27,moderate rain,2022-04-05 23:10:09
227,Bentiu,SS,9.2333,29.8333,86.59,43,14,3.94,few clouds,2022-04-05 23:10:09
228,Vardo,NO,70.3705,31.1107,31.95,79,100,29.28,light snow,2022-04-05 23:10:10
229,Axim,GH,4.8699,-2.2405,81.18,85,53,7.05,broken clouds,2022-04-05 23:10:10
230,Vanavara,RU,60.34,102.2797,16.11,98,100,3.6,overcast clouds,2022-04-05 23:10:10
231,Murdochville,CA,48.9583,-65.5006,20.5,89,81,8.61,broken clouds,2022-04-05 23:10:11
232,Port Lincoln,AU,-34.7333,135.8667,63.23,72,7,18.07,clear sky,2022-04-05 23:00:35
233,Trapani,IT,37.8333,12.6667,56.23,86,96,5.01,overcast clouds,2022-04-05 23:09:50
234,Kabinda,CD,-6.1333,24.4833,71.51,77,98,1.3,overcast clouds,2022-04-05 23:10:11
235,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,8.05,scattered clouds,2022-04-05 23:10:11
236,East London,ZA,-33.0153,27.9116,66.72,74,69,7.85,broken clouds,2022-04-05 23:07:25
237,Honiara,SB,-9.4333,159.95,78.4,94,100,7.72,overcast clouds,2022-04-05 23:07:03
238,Conway,US,35.0887,-92.4421,76.98,63,52,1.01,broken clouds,2022-04-05 23:10:12
239,Dunedin,NZ,-45.8742,170.5036,61.81,45,55,15.01,broken clouds,2022-04-05 23:08:52
240,Alice Town,BS,25.7167,-79.3,79.14,79,2,10.22,clear sky,2022-04-05 23:10:13
241,New Norfolk,AU,-42.7826,147.0587,55.92,63,37,1.01,scattered clouds,2022-04-05 23:10:13
242,Svit,SK,49.0601,20.2069,40.55,83,40,20.0,scattered clouds,2022-04-05 23:10:13
243,Filiatra,GR,37.15,21.5833,60.69,84,42,0.51,scattered clouds,2022-04-05 23:10:13
244,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,36,0,13.42,clear sky,2022-04-05 23:10:14
245,Arraial Do Cabo,BR,-22.9661,-42.0278,76.77,90,9,13.82,clear sky,2022-04-05 23:10:14
246,Sibolga,ID,1.7427,98.7792,75.42,86,98,2.73,overcast clouds,2022-04-05 23:10:14
