City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
245,Sulina,4,RO,2022-04-04 08:10:32,42,45.1559,29.6536,43.74,7.63
246,Tapioszele,100,HU,2022-04-04 08:10:32,50,47.3361,19.8772,42.04,1.99
247,Senanga,40,ZM,2022-04-04 08:10:32,64,-16.1167,23.2667,78.33,3.09
248,Oranjemund,15,NA,2022-04-04 08:10:33,62,-28.55,16.4333,64.22,3.04
249,Sainte-Thecle,100,CA,2022-04-04 08:10:33,90,46.8168,-72.4991,30.0,8.46
250,Newcastle,0,AU,2022-04-04 08:10:33,50,-32.9272,151.7765,77.72,1.14
251,Bunia,38,CD,2022-04-04 08:10:34,48,1.5667,30.25,81.0,1.7
252,Salalah,0,OM,2022-04-04 08:10:34,55,17.0151,54.0924,87.89,10.36
253,Vostochnyy,100,RU,2022-04-04 08:10:34,86,55.8167,37.8667,34.9,5.68
254,Samarai,100,PG,2022-04-04 08:10:35,77,-10.6167,150.6667,82.4,11.27
255,Nanortalik,100,GL,2022-04-04 08:10:35,89,60.1432,-45.2371,34.48,6.22
256,Half Moon Bay,100,US,2022-04-04 08:10:35,81,37.4636,-122.4286,54.01,17.27
257,Cairns,82,AU,2022-04-04 08:09:27,72,-16.9167,145.7667,85.1,9.22
258,Kavieng,97,PG,2022-04-04 08:10:35,75,-2.5744,150.7967,82.99,9.95
259,Odienne,25,CI,2022-04-04 08:10:36,61,9.51,-7.5692,80.22,3.78
260,Bengkulu,11,ID,2022-04-04 08:10:36,60,-3.8004,102.2655,84.94,9.64
261,Ushumun,99,RU,2022-04-04 08:10:36,39,52.7833,126.5333,33.17,11.41
262,Cockburn Town,28,TC,2022-04-04 08:10:37,82,21.4612,-71.1419,77.99,18.14
263,Byron Bay,0,AU,2022-04-04 08:10:37,84,-28.65,153.6167,74.95,6.53
264,Jaswantnagar,0,IN,2022-04-04 08:10:37,3,26.8786,78.9028,107.73,14.32
265,Kilindoni,36,TZ,2022-04-04 08:10:37,69,-7.9139,39.6668,83.61,2.57
266,San Quintin,80,MX,2022-04-04 08:10:38,82,30.4833,-115.95,59.16,12.08
267,Milas,0,TR,2022-04-04 08:10:38,52,37.3164,27.7839,63.75,2.3
268,Lincoln,0,US,2022-04-04 08:10:38,73,40.8,-96.667,40.55,13.8
269,Luwuk,100,ID,2022-04-04 08:10:39,85,-0.9516,122.7875,80.98,1.92
270,Bridlington,100,GB,2022-04-04 08:10:39,87,54.0831,-0.1919,52.9,14.0
271,Arrifes,40,PT,2022-04-04 08:10:39,66,37.7667,-25.7,52.05,5.75
272,Glubczyce,69,PL,2022-04-04 08:10:39,81,50.2009,17.8286,38.66,7.45
273,Ancud,100,CL,2022-04-04 08:10:40,89,-41.8697,-73.8203,51.22,0.4
274,Comodoro Rivadavia,0,AR,2022-04-04 08:10:40,47,-45.8667,-67.5,53.46,25.32
275,Aykhal,100,RU,2022-04-04 08:11:40,87,66.0,111.5,10.49,17.25
276,Leh,7,IN,2022-04-04 08:11:41,46,34.1667,77.5833,38.53,1.48
277,Okhotsk,100,RU,2022-04-04 08:11:41,84,59.3833,143.3,26.28,18.21
278,Raga,94,SS,2022-04-04 08:11:41,32,8.4596,25.678,93.34,6.2
279,Ganzhou,99,CN,2022-04-04 08:11:41,45,28.8184,115.4327,69.64,2.98
280,Rimbey,48,CA,2022-04-04 08:11:42,58,52.6334,-114.2353,36.63,11.1
281,Oktyabrskiy,100,RU,2022-04-04 08:11:42,100,54.4815,53.471,36.99,3.27
282,Poltavka,97,RU,2022-04-04 08:11:42,80,54.3663,71.7632,52.47,9.8
283,Vanimo,98,PG,2022-04-04 08:11:43,83,-2.6741,141.3028,80.37,4.34
284,Kuruman,29,ZA,2022-04-04 08:11:43,54,-27.4524,23.4325,68.0,13.15
285,Sao Felix Do Xingu,100,BR,2022-04-04 08:11:43,99,-6.6447,-51.995,70.65,0.76
286,Sungaipenuh,92,ID,2022-04-04 08:11:43,63,-2.0833,101.3833,76.91,5.21
287,Aksarka,100,RU,2022-04-04 08:11:44,93,66.5606,67.7975,26.38,18.97
288,Doha,0,QA,2022-04-04 08:11:44,9,25.2867,51.5333,94.98,9.22
289,Iwanai,0,JP,2022-04-04 08:11:44,75,42.9744,140.5089,43.86,1.88
